text,language,
Ee movieyinda dodda mattada success siguthhe Prajwal sirge.,kannanda,
ಕನ್ನಡ ಸಿನಿಮಾ ರಂಗದ ಸುವರ್ಣಯುಗ ಈ ಕಾಲ ಎಂದರೆ ತಪ್ಪಾಗಲಾರದು.nಅದ್ಬುತ ದುಷ್ಯಕವ್ಯ ಈ ಸಿನಿಮಾಗಳು.nGolden time for Kannada film industrynMungaru Male,kannanda,
Lo hucch baddimagne,kannanda,
ನನಗೆ ಹಾಲು ಕುಡಿದಷ್ಟು ಸಂತೋಷವಾಯಿತು ಜೈ ಮೋದಿಜಿ🤣🤣🤣,kannanda,
@Nandi Parthasarathi haa,kannanda,
Guri bennatto netara.......hands upp,kannanda,
Vijayprakash Golden Voice...,kannanda,
Wahoo super n2020 ವರ್ಷ nಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಸೋ ಅವತಾರ,kannanda,
Super d boss fan's like madi,kannanda,
Kya lyric hai yar....,kannanda,
Anjali Devi very nice,kannanda,
Well said bro well content,kannanda,
ಪಾತ್ರದ ಪರಿಚಯ ಇರೋರು...nLIKE HERE,kannanda,
No way chance illa  ivaga elli edane proof kodi  nambteevi,kannanda,
Ok Bro.... Bt gurudeshpande avru tamilindane jasti movie na remake madtirodu..... Ok hego paapa nam prajwal ge ondu break sigli,kannanda,
Bindu lowda hidko ba nan lowda,kannanda,
Instagram ali share madi avlna tag madi e math helu bro,kannanda,
Promotion ಚನ್ನಾಗಿ ಮಾಡಿ sir. yeno sir Karnataka outside film sound ಮಾಡ್ತಾ ಇಲ್ಲ. ನಿಮಗಿಂತ ನಮಿಗೆ ಈ ಫಿಲ್ಮ ಹಿಟ್ ಆಗಲ್ಲಿ ಅನೋ ಆಸೆ ಇದೆ sir.,kannanda,
Rashmika fans  ND devarkonda fans urkondirtarea,kannanda,
jAi D Bo'ss,kannanda,
Super bro,kannanda,
ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,kannanda,
@raii rai paaapaa bro🤣,kannanda,
Gauri Keshav ಆಂಗ್ಲ ಭಾಷೆ ಬಳಸೋ ಕಾಲದಲ್ಲಿ ಅಚ್ಚ ಕನ್ನಡದಲ್ಲಿ ಸಾಹಿತ್ಯ ಬರೆದಿರುವ ಬರಹಗಾರರಿಗೆ ಕೋಟಿ ಕೋಟಿ ನಮನಗಳು,kannanda,
Beautiful movies sar,kannanda,
Groza Besta awm besta  keldag Ede  2 Kuda beku,kannanda,
ಪುಣ್ಯಕೋಟಿ ಮೂವಿ ಬರುವ ತನಕ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಯವರ ಮೂವಿ ವೇಟ್ ?,kannanda,
ಸಿನಿಮಾದಲ್ಲಿ ಐದಾರು ಹಾಡುಗಳು ಇಡುವ ಕಾಲದಲ್ಲಿ  ಈಡಿ ಸಿನಿಮಾದ ಕಥೆ ಒಂದು ಹಾಡಿನಲ್ಲಿ   ಆಡಗಿದೆ ಯಾರೆಲ್ಲ ಆ ಹಾಡಿಗೆ ಕಾಯುತ್ತಿದಿರ?....,kannanda,
Bro see irum u kottai murattu singam film,kannanda,
Super I like it,kannanda,
ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಸರ್ ನಾನು ಸನ್ನಾವಿದ್ಧಾಗ ಕೆಳಿದ ನಾಟಕ ನನ್ನ ಬಾಲ್ಯದ ನೆನಪುಗಳು ಮರುಕಳಿಸಿದವು🥰🥰,kannanda,
Swalpa aerial tara ide.,kannanda,
Supper song nanna  maga feverte song,kannanda,
Super guru.. Sariyagi ugdidiya,kannanda,
Bro super neevu,kannanda,
Olle comeback movie prajwal avrge,kannanda,
@Vinay Vn kannadalli helu bro gothagalla english  idu remake a?,kannanda,
@Nandi Parthasarathi ನಿಮ್ಮ ಅವ್ವುನ್ ತುಲ್ಲಗೆ ಹಳಸಿದ್ ಹೋಳಿಗೆ ಹಾಕ,kannanda,
ನಿಮ್ಮ ದ್ವನಿ ಹೀಗೆ ಬರಲಿ ಸರ್ ಟ್ರೈಲರ್ ಅದ್ಭುತವಾಗಿದೆ,kannanda,
Ee music director d Boss Robert movige irli enuvru like mdidri,kannanda,
En Anna nim mathgalu Mika 🤣🤣🤣🤣instadalli sigtave bidi anna,kannanda,
Darshan kacha thinogu sule magne,kannanda,
ಪ್ರತಿವೊಬ್ಬ ವ್ಯಕ್ತಿ ಜೀವನದಲ್ಲಿ ಆಗುವಂತ ಕಥೆ . ನಿಜಕು ಈ ಫಿಲಂ ಫೀಲಿಂಗ್ ನು ವ್ಯಕ್ತ ಪಡಿಸುತೆ .,kannanda,
Re release madi please,kannanda,
love you ya,kannanda,
Beligge yeddhu bavige haarbekittu avaga kanasu nanasu agithithu,kannanda,
ಗುರು ಎಲ್ಲಿದ್ದೆ ಗುರು ಇಷ್ಟು ದಿನ🤣,kannanda,
ಈ ಹಾಡು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,kannanda,
@Ŕävîñđŕå_02_GøWđřú ನಿಮ್ಮ ಅಂತಾ ಅರ್ಧ ಬರ್ದ ಫ್ಯಾನ್ ಅವಶ್ಯಕತೆ ನಮ್ boss ge ಬೇಡ ಹೋಗೋಲೆ ಲೌಡೆ ಷಂಡ,kannanda,
ಕಕ್ಕ ಮಾಡ್ಕೊಳ್ಳೋಕೆ ಬಂದ್ ಬಿಟ್ಟಿದ್ದಿಯ  ಇಷ್ಟೆಲ್ಲ ಹೇಳಿಕೂಡ chinaದು use ಮಾಡಲ್ಲ ನಾನ್ ಹೇಳಿರೋದು apps ಬಗ್ಗೆ ಕಣೋ products ಬಗ್ಗೆ ಅಲ್ಲ...ಮಾಡಿರೋ ಕಕ್ಕನ ತೊಳ್ಕೊಂಡು ಮನೆಗೆ ಹೋಗು,kannanda,
Well said sir,kannanda,
Neen build up films nodkindu irappa..illi yake bande..?,kannanda,
nim taste gottaythu.. nthaavu dandupalya-5 ge wait maadta idiri alva,kannanda,
Obba amman hatra ninge yav maga ista antha kelidhre. Sandalwood fan,kannanda,
#win 12 ನಿಮ್ಮ ಕನ್ನಡ ಪ್ರೇಮಕ್ಕೆ ಧನ್ಯವಾದ,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
Anjali Devi ಊಟ,kannanda,
Awesome movie.......frm kolkata,kannanda,
Kolthogiro kobri mitai mukadavle na..?nYappa devre neenu ugidu uppakodralli no,kannanda,
Still no 1 trending,kannanda,
Bro ondu hellla nandu nan desha consumer economy navu producer economy agbeku. Edu agbeku andre swantha bussinessd madodu kalisabeku. Ellli job edre great ade entrprenuer r bussinesss madtidini andre yalru chikkkadagi nodtare madve agoke hudginu kodollla. Encouragrment ellla guru,kannanda,
Super  bro,kannanda,
ಏನ್ ತುಕಾಲಿ ಫ್ಯಾನ್ಸ್ ಮರ್ರೆ... ಟ್ರೈಲರ್ ಬಗ್ಗೆ ಕಾಮೆಂಟ್ ಮಾಡೋದು ಬಿಟ್ಟು... ಆ ಫ್ಯಾನ್ಸ್  ಕಡೆಯಿಂದ ಅಲ್ ದಿ ಬೆಸ್ಟ್... ಈ ಫ್ಯಾನ್ ಕಡೆಯಿಂದ ಆಲ್ ದಿ ಬೆಸ್ಟ್... ಥು ಇವ್ರ ಜನ್ಮಕ್ಕೆ,kannanda,
Super sir nNijavaglu namma desha tumba hinde ede .n        Edakke namma deshed Rajkiya ne karna.,kannanda,
Pubgi kooda ban agbikittu,kannanda,
Tik tok ban I'm full Full Happ bro ..hage pubg nu ban hagbittre Nana kushige paarave illa,kannanda,
@ganesha m by,kannanda,
Kiccha fans kade inda congratulations pajju,kannanda,
I hope ur not a rashmika mandanna fan,kannanda,
Koltogiro kobrimitayi mukdloge edkond degtin bro,kannanda,
ಯದ್ದಮಾಡಬೇಕು ಓದಬಾರದು ಕಟುಕರಮುಂದೆ ಭಗವತ್ಗೀತೆ ಅದ್ಬುತ ರಚನೆ,kannanda,
Anyone after 10m like please,kannanda,
Love you boss,kannanda,
ಅದ್ಬುತವಾಗಿದೆ ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಚಿತ್ರದ ಹಾಡು ಹ್ಯಾಂಡ್ಸಪ್,kannanda,
Eshttu sari kellidaru besaramudada haddu,kannanda,
Free fire lover like here,kannanda,
Idu yaavdo tamil film remake guru,kannanda,
KEERTHAN KUMAR ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,kannanda,
Lots love from kannadigas 🤗,kannanda,
@Nandi Parthasarathi ನಿ ಸೂಳೆ,kannanda,
@Nandi Parthasarathi ನಿ ಮುಂಡೆ,kannanda,
Super sogs guru,kannanda,
ನಾನು 15ವರ್ಷ ಹಿಂದೆ ಚಾಮಯ್ಯ ಮೇಷ್ಟ್ರು ಅಶ್ವಥ್ ಸಾರ್ ಇಂಟರ್ವಿವ ನೋಡಿದ್ದೆ,kannanda,
Super signature step..,kannanda,
Pritvi Amber super,kannanda,
Nice song avane srimannarayana,kannanda,
ಅಲ್ಲಾ ಅವನು ಅ'ಚುತ್ಯಾ',kannanda,
ಟ್ರೈಲರ್ ನೋಡಿ ಮೈಯೆಲ್ಲ ರೋಮಾಂಚನವಾಯಿತು! ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್,kannanda,
ಮಾಡಿದ್ದೀರಾ ಅನ್ನುವುದು ಕ್ರಿಯಾಪದ.nಅದಕ್ಕೆ ಕೇಳುಗ ಯಾವ ರೀತಿ ಯೋಚನೆ ಮಾಡ್ತಾನೆ ಅದರ ಮೇಲೆ ಅರ್ಥ ಡಿಪೆಂಡ್ ಆಗುತ್ತೆ.nnನಿಮ್ಮ ಮನಸ್ಸಲ್ಲಿ ಇರುವುದನ್ನ ಜನಕ್ಕೆ ತಿಳಿಸಿದ್ದು ..ನಿಮ್ಮ,kannanda,
Namm department nalli clark kaali adaaw yaradru candidates edry hyli n9901919091 WhatsApp msg maadriii,kannanda,
@ನಾನು ನೀನು Thank you bro..,kannanda,
Most liked Kannada song,kannanda,
@MADHU S B ಪಕ್ಕಾ ಹೇಳ್ದೆ ಗುರು.... ಈ ಗೂಬಾಡ್ ನನ್ಮಕ್ಳು,kannanda,
Film matra sakattagide,kannanda,
Super guru awesome video,kannanda,
ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿಯಲನಲ್ಲಿ ರಕ್ಷಿತ ಶೆಟ್ಟಿ ಅಂದ್ರೆ ಅಮೀರ ಖಾನ್ ಇದ್ದಂಗೆ,kannanda,
Bigg boss nalli kalisri nijwaglu help maadida haage aaguthe intha olle artist ri ivaru kasta dalli iddaare,kannanda,
Hiii......Amar Prasad avre,kannanda,
One man armye,kannanda,
Bro  so nice videos 🤣,kannanda,
ಖಂಡಿತ ಹೌದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುತ್ತದೆ  100%,kannanda,
ನಿಮಗೆ ಒಳ್ಳೇದು ಆಗಲಿ ಸುದೀಪಣ್ಣ ಅಭಿಮಾನಿಗಳು,kannanda,
Super guru ....hodi hodi channagi ti....hodi e tiktok kagegalge ...,kannanda,
Nijvaglu nivu tumbha great sir nimma antha ollevyakthi nodi devru idana antha prashne baruthe,kannanda,
@Nandi Parthasarathi ನಿನ್ ಅಕ್ಕುನ್,kannanda,
Signature step,kannanda,
Isske samne dabbang flop hai..ASN,kannanda,
Kannada always no.1 agirbeku kannada belsi ulsi esta agli esta ellade edru plz like madi dislike madbedi kannadadavre dislike madidre hege yar fan adre enu kannada belsokr,kannanda,
2020  new year special viewers like here,kannanda,
@Vinay Vn  nani gentle men??,kannanda,
Super  song,kannanda,
Actually iedu iedu channagirodu,kannanda,
Creative  ಕಿಲಾಡಿ ಗುರು ನೀನು ಸೂಪರ್,kannanda,
Hands Up.... Addictive... Matte matte hadanna kelbeku ansatte,kannanda,
super song guru,kannanda,
D Boss fens,kannanda,
basava basavaraj mind your words. Maathina mele niga irli.,kannanda,
Subscribed... Bro... Benki ninu,kannanda,
ದಿಸ್ ಐಸ್ ದಿ ಬೇಸ್ ಸನ್ ಎವರ್ ಲವ್ ಉ,kannanda,
ಮ್ಯೂಸಿಕ್ ಗೆ ಮತ್ತು ಹಿರೋ ಸ್ಟೆಪ್ಸ್ ಗೆ ಫಿದಾ ಆದವರು ಲೈಕ್ ಮಾಡ್ರೋ,kannanda,
Yen thapu illa Inna chanag ugibeku,kannanda,
@10 R yaar fan adhru agli.. thandhido buddhi yake.. ivaga yela kfi kade nodtha idhare.. kachada galu heeg madthare.. d boss yavathu yelarnu encourage madthare,kannanda,
Athu sari kannadanukku tamil actor Vida kannada actor thane pudikkum,kannanda,
All the best ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ avre.,kannanda,
Sariyagi degidiya guru  all the best desha abhimana elade ero sule makkali ge sariyagi deggg bekuuu,kannanda,
Super guru tq,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
ಏನ್ರೀ ಇದು ಇಷ್ಟು ಜಾಹಿರಾತುಗಳು ಬರ್ತಾ ವೇ ಸ್ಕಿಪ್ ಮಾಡಿ ಮಾಡಿ ನೋಡಬೇಕಾಗಿದೆ,kannanda,
What a movie superb,kannanda,
Super  ..,kannanda,
Nagarjuna avaru lyrics bardirodhu!!,kannanda,
Story e movie plus point,kannanda,
ಈಗ ಎಲ್ಲಾ ಮಕ್ಕಳಿಗೂ ಎಗ್ಜಾಮ್ ಟೆನ್ಶನ್ ಎಸ್ಎಸ್ಎಲ್ಸಿ ಪಿಯುಸಿ ಮುನ್ನಾದಿನ ಅವರ ಮನೆಗಳನ್ನು ಸ್ವಚ್ಛ ಮಾಡಿಕೊಳ್ಳುವುದು ಬಹಳ ಇದೆ,kannanda,
ಬಸವರಾಜ ಕೆಂಚರಡ್ಡಿ asaraj,kannanda,
ಅದ್ಬುತವಾದ ಮಾತುಗಳು ಆಡಿದಿರಿ ನೀವು ..Mast maga Ni best maga,kannanda,
kannadigaru dislike madbardu...,kannanda,
Nivu deshada Ella moole moole bidade suttidira. Avaru hagella sikka sikka varigella kanisikolluvudilla,kannanda,
togar I tippana super,kannanda,
Aa bindu gowda nad innitar support madovrge hilieghtag troll madi bro life nal tiktok bagge matadbardu,kannanda,
yakale.... Dbooos bagi matadtya,kannanda,
Nice song i like,kannanda,
Idhu charithre shrushtiso haadu...,kannanda,
Nija kano adhu...neevgalu kathe katkondirodu...alla alla antha....,kannanda,
An untold feelings,kannanda,
ಕನ್ನಡ industry ya ಹೆಮ್ಮೆ....ASN,kannanda,
ಈ ಕತೆಯಲ್ಲಿ ಅವನನ್ನ ಹುಡುಕತಾ ಇದಿಯಾ nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ( ಕಳುವಾದ ಲೂಟಿ)nಅವ್ನು ಯಾರಿಗೂ  ಸಿಗಲ್ಲ nಕೊನೆಗೆ ಎಲ್ಲದಕ್ಕೂ ಅವನೆ ದೊರೆ..(ಶ್ರೀ ಮನ್ನಾರಾಯಣ)nಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,kannanda,
Zing zing amazing,kannanda,
ನಿಜವಾಗಿಯೂ ಅಣ್ಣ HANDS OFF TO YOU.. ಧನ್ಯವಾದಗಳು...,kannanda,
@prithvi nayak ನಿಮ್ಮ ಅವ್ವ ಊರ್ ಹಾದರಗಿತ್ತಿ ಅಂತೇ 🤣🤣🤣🤣ಒನ್ ನೈಟ್ ಕಳ್ಸ್ಕೊಡು ನಿಂಗೆ ತಮ್ಮ ನ್ನ ಕೊಡ್ತೀನಿ... ಲೋ ಚೋದು boo,kannanda,
Super song bro thank you Vijay Prakash sir Great singer,kannanda,
Nama D Boss Nimaage kanditha Sahaya madthare sir,kannanda,
Sule magne nin maneli yava china product ilva,kannanda,
@s.g. mathapati ಡ,kannanda,
Super bro e nayiigulu erodrindane nam desha uddar agilla once again super bro,kannanda,
ಬೆಳೆಗ್ಗೆಯಿಂದ ಕೆಳ್ತಾ ಇದಿನಿ ಅದ್ರೂನು ಕೆಳ್ತಾನೆ ಇರ್ಬೆಕು   ಅನ್ಸುತ್ತೆ.....n,kannanda,
ಗುರು ulti movie Superb Chindi,kannanda,
Hahaha super bro,kannanda,
@RADHA RADHA gn mem,kannanda,
elru phone le nodthare manele adke yaru takis ge bandu nodthilla nanu kuda phone le nodiddu tam tam app inda ella new films dwld madkondu manele nodthare so adke yaru takis ge barthilla ansuthe,kannanda,
ಕನ್ನಡ ಸಾಂಗ್ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ,kannanda,
Super creation bro .  Adru nim voice sppppprrrrrr.....,kannanda,
Love u sir,kannanda,
Kannadadalli mado badlu hindinalli madidre superrhit agodhu,kannanda,
Anna nivu comedy agi madila Andru yene madidru entertaining agi eruthe  keep rocking,kannanda,
Bro iverella made in china,kannanda,
. .nanu 10 bari nodidene. nSuper.,kannanda,
ನಿನ್ ಅಡ್ತಿರೋ pubge ನು ಚೈನ ದೆ ಅದನ್ನು uninstall madu,kannanda,
Booking start  ಮಾಡಿ,kannanda,
ತುಳುನಾಡ ತುಳು ಸಿನಿಮಾ ಹೀರೋ ಪೃಥ್ವಿ ಅಭಿನಯ ಸೂಪರ್...,kannanda,
I like it,kannanda,
Elru nodle bekadaa video..,kannanda,
ವಿ ಪಿ ಸರ್...,kannanda,
ಬಾರ್ಡರ್ ನಲ್ಲಿಚೀನಾ ಚಕ್ಕಗಳ ಆಟ ಟಿಕ್ ಟಾಕ್ ನಲ್ಲಿ  ಟ್ಯಾಲೆಂಟ್ ಇಲ್ಲದವರು ಕೊಡ್ತಾ ಇದಾರೆ ಕಾಟ ಟೋಟಲ್ ಆಗಿ ಟಿಕ್ ಟಾಕ್ ನನ್ ಶಾ[],kannanda,
@KICCHA DHF yes 2,kannanda,
ಸೂಪರ್  ಗುರು,kannanda,
Super pajjuu I am d Boss,kannanda,
ದೇಶ ಬದಲಾವಣೆ ಆಗಬೇಕು ಸರ್,kannanda,
Super means super,kannanda,
Dia 2 madi plz,kannanda,
കേരളത്തിലെ നല്ലവരായ സിനിമ പ്രേമികളുടെ ഏറ്റവും പ്രിയങ്കരനായ nRakshit shetty nWe Love u rakshitt shetty nHANDSUPnVijay prakash sound make its more beautiful,kannanda,
Imraan sir super coriyagraphy,kannanda,
ನಿಜವಾದ ಸ್ಟಾರ್ ಅಂದ್ರೆ ನೀವು,kannanda,
Next part madi,kannanda,
Very true bro,kannanda,
ಸೂಪರ್ ಗುರು ನಿಜ,kannanda,
Ammanagedi chindi voice l helidiya guru,kannanda,
@Kumara Kantirava nSame nInnu eno bekunnKgf song listen nEsto powerfull idennElla languagenna nAttract maadidenBut idu,kannanda,
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಠಿಸೊ ಅವತಾರ,kannanda,
Nin voice and dialogues ge fidha guru 🤣🤣🤣🤣🤣,kannanda,
@sathish m nNin kano gaandu sariyagi matadu darshan fans bari kettadagi matadtare troll madtidare idu ninge gottenoley darshan na bitre yargu support madolla antha rumors spread madidare adke nangu ange anusthu helde,kannanda,
Tippa janapad hasay chataki super,kannanda,
@bindugowda  blast full,kannanda,
Prajwal  bro  nivu   come  back  agbeku   .....   nivu  pakka   gede  gelthira,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
Idu charitre srushtiso cinemanee...,kannanda,
Yaaru illi movie nodkondu bandidira like  madi...,kannanda,
ಅವನೇ ಶ್ರೀ ಮನ್ನಾರಾಯಣ ಮೂವಿಗೆ ಕಾಯ್ತಾ ಇರೋರು ಲೈಕ ಮಾಡಿ nಆಲ್ ದಿ ಬೆಸ್ಟ್ from ಡಿಬಾಸ ಫ್ಯಾನ್ಸ,kannanda,
Barli guru innondu video sakaglilla begaaaaaaaaaaa....,kannanda,
@Manjunath BJP Jorapur ybsbjdis,kannanda,
Dabba movie annoru like maadi,kannanda,
Estu sari nodudru samadhana aagthilla.... Awesome song,kannanda,
Mostly e haadu aadmele sanvi entry kodthare ansuthe naan complaint kodak station hodre neevili bar ge bandu kudithideera anno dialogue,kannanda,
NEW KANNADA FEMALE VERSION SONGn,kannanda,
He need break..,kannanda,
@prithvi nayak ಉರ್ಕೊಂಡ ಲುಚ್ಛನ್ ಫ್ಯಾನ್ bcz,kannanda,
Benki bindangide rasmikage,kannanda,
ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,kannanda,
Superb song..superb making love you Rakshith sir..,kannanda,
ಸೂಪರ್ ವಿಡಿಯೋ ಗುರು ಇದೆ ರೀತಿ ವಿಡಿಯೋ ಮಾಡಿ ಚೀನಾ ಉರೋಕೊಬೇಕು,kannanda,
ಚೀನಾ ಕಾಮಿನಿಸ್ಟ್  ದೇಶ.? ನಮ್ಮ ದೇಶದಲಿ ರಾಜಕೀಯ  106 ಪಾರ್ಟಿ. n106 ಕ್ಯಾಸ್ಟ್.  106 ಧರ್ಮ . 1006 ಮಾತುಗಳು ಸಮಸ್ಯೆಳು,kannanda,
BGM yav Hollywood gu kammi illa. Amazing song,kannanda,
ನಿಜವಾದ ಕನ್ನಡಿಗ ಅಂದ್ರೆ ನೀನೆ ಗುರು. I love ur videos and i love my ಕನ್ನಡ ಗುರು,kannanda,
ಚಳಿಗಾಲದಲ್ಲಿ ಹೆಂಡ್ತೀನ ಬಿಟ್ಟಂಗಾಗಿದೆ Tik tokers ಸ್ಥಿತಿ Like a  ಹೀಟ್ ಗೆ ಬಂದಿರೋ ನಾಯಿ ತರ,kannanda,
Miss u Hindi song,kannanda,
Super sir,kannanda,
Full comedy  super,kannanda,
Super sir nim anthoru Nam Kannada industry ge beku namma Kannada industrya kirty patake ellade harabeku belibeku,kannanda,
Tik Tok Ban Madrappa India Dalli,kannanda,
@Gajendra hv ayyo bewarsi,kannanda,
ಗಜಿ  ಆಶು,kannanda,
dislikes are from pedigree foodies,kannanda,
Super song Anna,kannanda,
@STONERॐ VEDAS hello,kannanda,
Iddane idu nanna nabike,kannanda,
Hlo bro... Even I uninstalled at stupid app...,kannanda,
Yen quality guru,kannanda,
Thank you Akhillanna,kannanda,
En guru song nHowdoo huliyaaaa,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
ಉಗಿ ಕಳ್ಳ ನನ್ ಮಕ್ಲುಗೆ,kannanda,
Togari tippa story super,kannanda,
@Nandi Parthasarathi ninamman shata kilaka helde baa antha gandu,kannanda,
@Nandi Parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲು ಕೆಂಗೇರಿ ಮೋರಿ,kannanda,
Prajwal Devaraj sir,kannanda,
GTA 5 BRO,kannanda,
ede tara mondeagute annru like madi,kannanda,
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಡೈನಾಮಿಕ್ ಪ್ರಿನ್ಸ್ ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ ಸರ್ ಗೆ ಅಭಿನಂದನೆಗಳು ಮತ್ತು ಈ ಚಿತ್ರವು ಜನರ ಮನಸ್ಸನ್ನು ಗೆಲ್ಲಲಿ ಎಂದು ಹಾರೈಸುತ್ತೇವೆ...n                            - ಜೈ ಡಿ ಬಾಸ್,kannanda,
ಸೂಪರ್ ಆಗಿ ಇದೆn ಕೆಜಿಎಫ್ ಮತ್ತು ಅವನೇ ಶ್ರೀಮಾನ್ನಾರಯಣ ಇಂತಹ ಅನೇಕ ಕನ್ನಡ ಸಿನಿಮಾಗಳು ನಮ್ಮ ಕನ್ನಡಕ್ಕೆ ಬೇಕು ನಮ್ಮ ಕನ್ನಡ ಸಿನಿಮಾಗಳು ರಾಷ್ಟ್ರ ಮತ್ತು ದೇಶ ಮಟ್ಟದಲ್ಲಿ ಬೆಳೆಯಬೇಕು,kannanda,
kelsa maddidare anna Modiji,kannanda,
Sir mate communist best antiria nDemocracy li rajakarnigalu kithadtare,kannanda,
RIP rashmika mandhana,kannanda,
En music guru,kannanda,
ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಚಿತ್ರವು ಶತದಿನ ಆಚರಿಸಲೆಂದು ಅಖಿಲ ಕರ್ನಾಟಕ ಪವರ್ ಸ್ಟಾರ್ ಅಪ್ಪು ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಶುಭ ಹಾರೈಸುತ್ತೇವೆ...ಕೆ.ಮಂಜು ಆದಿವಾಲ,kannanda,
Shikuar. Chimmalagi. Super,kannanda,
ಇನ್ನು ನಮ್ಮ ಗೇ ಕಾಣದೆ ಏನೇನು ಇದೆಯೋ ಇಲ್ಲವೋ ಎಲ್ಲಾ ಕೃಷ್ಣ ನಿಗೆ ಗೊತ್ತು,kannanda,
Anjali Devi,kannanda,
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,kannanda,
@Mad Titan 8iokkiyhopbrfnllj,kannanda,
ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಹೆಮ್ಮೆ ಪಡುವಂತಹ ಕೆಲಸ,kannanda,
Jai ASN Rakshith shetty,kannanda,
ಏನ ಕೊಟ್ಟಿದ್ದೀಯ ಗುರು ಯೇಪ್ಪ ನಾನು ಏನ ಏನ ಬೈಬೇಕಿತು ಅದನ್ ಎಲ್ಲ ಬೈದಿದಿಯ ದೇವುಡ್ ಈವಲಾ ಅಮ್ಮನ ಎಲ್ಲರ ಘು ಸರಿ ಯಾಗಿ ಕೊಟ್ಟಿಡಿಯ ನಾನು ಅಂತೂ ನಿಂಗೆ ದೊಡ್ಡ ಅಭಿಮಾನಿ ಆಗಿ ಬಿಟ್ಟೆ,kannanda,
Super bro ur video,kannanda,
Game name heli,kannanda,
Hen helde guru,kannanda,
ಈ ಸಾಂಗ್ movie ಅಲ್ಲಿ ನೋಡುವಾಗ ಫೀಲ್ ಬೇರೆನೇ ಇತ್ತು,kannanda,
@Creative Kannadiga haa bro...nange seetara ista ...avl videos roast maadbedi plzzz,kannanda,
Bisilu nadalli hola uluvavane nijavada raita,kannanda,
super song,kannanda,
Movie yavaga boss,kannanda,
BGM is Superbb,kannanda,
USA brand but aduna produce madoke USA ali skilled labour ilvala aduke china davru madtarennApple mobile togondru china ke income hogute,kannanda,
Krishna daliya Krishna Modi ke geet,kannanda,
Tiktok Ban Madi olle kelsa Madi edare,kannanda,
Wat dat means bro,kannanda,
ಈಗಲಾದರೂ ಜನ ರಾಜಕಾರಣವನ್ನ ಒದ್ದೋಡಿಸಿ,kannanda,
In sandalwoodnnTumba janrige jaatre hero gale ishta aagodu.. talent content bekagilla.. rhyming dialogues matte badavara para horado hero... Aaith mugitu,kannanda,
Superb u r Kannada pandit yaar,kannanda,
Tumba channagi mathadthira anna,kannanda,
